"order_id","customer_id","order_status","order_date","required_date","shipped_date","store_id","staff_id"
"729","897","4","2017-02-20","2017-02-22","2017-02-21","2","7"
"730","500","4","2017-02-21","2017-02-24","2017-02-22","2","6"
"731","910","4","2017-02-25","2017-02-27","2017-02-27","3","9"
"732","147","4","2017-02-26","2017-02-27","2017-03-01","2","7"
"733","832","4","2017-02-26","2017-03-01","2017-02-27","2","7"
"734","939","4","2017-02-26","2017-02-28","2017-03-01","3","9"
"735","20","3","2017-02-27","2017-02-27",NULL,"3","9"
"736","184","4","2017-02-27","2017-02-28","2017-02-28","2","7"
"737","694","4","2017-02-27","2017-03-01","2017-02-28","2","6"
"738","124","4","2017-02-28","2017-03-01","2017-03-03","1","2"
"739","49","4","2017-02-28","2017-03-01","2017-03-02","2","6"
"740","1113","4","2017-02-28","2017-03-01","2017-03-02","2","6"
"741","119","4","2017-02-28","2017-03-01","2017-03-01","3","8"
"742","433","4","2017-02-28","2017-03-01","2017-03-01","3","9"
"1376","1186","4","2018-02-01","2018-02-02","2018-02-03","1","2"
"1377","1007","4","2018-02-01","2018-02-03","2018-02-03","2","7"
"1378","983","4","2018-02-02","2018-02-05","2018-02-04","1","2"
"1379","1256","4","2018-02-02","2018-02-05","2018-02-05","2","6"
"1380","818","4","2018-02-05","2018-02-08","2018-02-08","1","3"
"1381","680","4","2018-02-05","2018-02-06","2018-02-08","2","7"
"1382","1303","4","2018-02-06","2018-02-09","2018-02-08","2","6"
"1383","488","4","2018-02-07","2018-02-08","2018-02-08","1","3"
"1384","1126","4","2018-02-08","2018-02-10","2018-02-09","2","7"
"1385","866","4","2018-02-08","2018-02-11","2018-02-09","3","9"
"1386","1254","4","2018-02-09","2018-02-10","2018-02-11","1","2"
"1387","11","4","2018-02-09","2018-02-11","2018-02-11","2","7"
"1388","323","4","2018-02-09","2018-02-12","2018-02-12","2","7"
"1389","491","4","2018-02-11","2018-02-12","2018-02-14","2","7"
"1390","63","4","2018-02-12","2018-02-13","2018-02-13","2","7"
"1391","914","4","2018-02-13","2018-02-14","2018-02-14","2","7"
"1392","1187","4","2018-02-13","2018-02-14","2018-02-14","2","6"
"1393","547","4","2018-02-14","2018-02-15","2018-02-15","2","7"
"1394","906","4","2018-02-14","2018-02-16","2018-02-16","3","8"
"1395","1052","4","2018-02-15","2018-02-18","2018-02-16","1","3"
"1396","856","4","2018-02-15","2018-02-18","2018-02-16","2","7"
"1397","920","4","2018-02-15","2018-02-17","2018-02-16","2","6"
"1398","1383","4","2018-02-16","2018-02-19","2018-02-19","1","3"
"1399","146","4","2018-02-16","2018-02-18","2018-02-18","2","6"
"1400","987","4","2018-02-17","2018-02-18","2018-02-18","2","6"
"1401","15","4","2018-02-18","2018-02-19","2018-02-20","2","7"
"1402","1171","4","2018-02-19","2018-02-21","2018-02-21","2","6"
"1403","452","4","2018-02-21","2018-02-22","2018-02-22","2","7"
"1404","1240","4","2018-02-23","2018-02-26","2018-02-24","1","3"
"1405","100","4","2018-02-25","2018-02-28","2018-02-27","2","6"
"1406","1053","4","2018-02-25","2018-02-27","2018-02-27","2","7"
"1407","18","3","2018-02-26","2018-02-26",NULL,"2","6"
"1408","1172","4","2018-02-26","2018-02-27","2018-03-01","2","6"
"1409","21","4","2018-02-26","2018-02-28","2018-02-28","3","8"
"1410","1005","4","2018-02-27","2018-02-28","2018-02-28","2","7"
